Timestamp,Task,Status,DurationSeconds,Notes
"2026-01-12 00:26:34","CMD","SUCCESS",0.21,"Command OK."
"2026-01-12 07:25:48","2.1.5","SUCCESS",123.7,"Command OK."
"2026-01-12 08:52:04","2.5.1","SUCCESS",0.62,"Command OK."
"2026-01-12 08:52:05","2.5.2","SUCCESS",0.91,"Command OK."
"2026-01-12 08:52:06","2.5.3","SUCCESS",0.38,"Command OK."
"2026-01-12 08:52:07","2.5.4","SUCCESS",0.47,"Command OK."
"2026-01-12 08:53:48","2.1.5","SUCCESS",106.04,"Command OK."
"2026-01-12 08:54:49","2.5.1","SUCCESS",0.51,"Command OK."
"2026-01-12 08:54:49","2.5.2","SUCCESS",0.53,"Command OK."
"2026-01-12 08:54:50","2.5.3","SUCCESS",0.39,"Command OK."
"2026-01-12 08:54:50","2.5.4","SUCCESS",0.23,"Command OK."
"2026-01-12 08:54:50","2.5.5","SUCCESS",0.27,"Command OK."
"2026-01-12 08:55:20","2.5.6","FAILED",29.5,"Error: ""retention"" non è riconosciuto come comando interno o esterno,"
"2026-01-12 08:55:21","2.5.7","SUCCESS",0.7,"Command OK."
"2026-01-12 08:55:21","2.5.8","SUCCESS",0.24,"Command OK."
"2026-01-12 08:55:21","1.2.3","SUCCESS",0.2,"Command OK."
"2026-01-12 08:55:50","2.5.1","SUCCESS",0.4,"Command OK."
"2026-01-12 08:55:51","2.5.2","SUCCESS",0.24,"Command OK."
"2026-01-12 08:55:51","2.5.3","SUCCESS",0.32,"Command OK."
"2026-01-12 08:55:52","2.5.4","SUCCESS",0.83,"Command OK."
"2026-01-12 08:55:53","2.5.5","SUCCESS",0.79,"Command OK."
"2026-01-12 08:56:22","2.5.6","FAILED",28.97,"Error: ""retention"" non è riconosciuto come comando interno o esterno,"
"2026-01-12 08:58:39","2.1.5","SUCCESS",136.75,"Command OK."
"2026-01-12 09:00:16","2.1.5","SUCCESS",96.94,"Command OK."
"2026-01-12 09:00:16","2.5.1","SUCCESS",0.2,"Command OK."
"2026-01-12 09:00:17","2.5.2","SUCCESS",0.19,"Command OK."
"2026-01-12 09:00:17","2.5.3","SUCCESS",0.18,"Command OK."
"2026-01-12 09:00:17","2.5.4","SUCCESS",0.23,"Command OK."
"2026-01-12 09:00:17","2.5.5","SUCCESS",0.17,"Command OK."
"2026-01-12 09:00:17","2.5.6","SUCCESS",0.16,"Command OK."
"2026-01-12 09:00:18","2.5.7","SUCCESS",0.62,"Command OK."
"2026-01-12 09:00:19","2.5.8","SUCCESS",0.58,"Command OK."
"2026-01-12 09:00:19","1.2.3","SUCCESS",0.48,"Command OK."
"2026-01-12 09:00:22","2.5.1","SUCCESS",0.15,"Command OK."
"2026-01-12 09:00:22","2.5.2","SUCCESS",0.13,"Command OK."
"2026-01-12 09:00:22","2.5.3","SUCCESS",0.18,"Command OK."
"2026-01-12 09:00:23","2.5.4","SUCCESS",0.11,"Command OK."
"2026-01-12 09:00:23","2.5.5","SUCCESS",0.14,"Command OK."
"2026-01-12 09:00:23","2.5.6","SUCCESS",0.12,"Command OK."
"2026-01-12 09:00:23","2.5.7","SUCCESS",0.19,"Command OK."
"2026-01-12 09:00:23","2.5.8","SUCCESS",0.16,"Command OK."
"2026-01-12 09:00:24","1.2.3","SUCCESS",0.12,"Command OK."
"2026-01-12 09:01:27","2.5.1","SUCCESS",0.47,"Command OK."
"2026-01-12 09:01:28","2.5.2","SUCCESS",0.23,"Command OK."
"2026-01-12 09:01:28","2.5.3","SUCCESS",0.21,"Command OK."
"2026-01-12 09:01:28","2.5.4","SUCCESS",0.22,"Command OK."
"2026-01-12 09:01:29","2.5.5","SUCCESS",0.2,"Command OK."
"2026-01-12 09:01:29","2.5.6","SUCCESS",0.18,"Command OK."
"2026-01-12 09:01:29","2.5.7","SUCCESS",0.3,"Command OK."
"2026-01-12 09:01:30","2.5.8","SUCCESS",0.34,"Command OK."
"2026-01-12 09:01:30","1.2.3","SUCCESS",0.17,"Command OK."
"2026-01-12 09:02:27","2.5.1","SUCCESS",0.15,"Command OK."
"2026-01-12 09:02:27","2.5.2","SUCCESS",0.15,"Command OK."
"2026-01-12 09:02:27","2.5.3","SUCCESS",0.15,"Command OK."
"2026-01-12 09:02:28","2.5.4","SUCCESS",0.15,"Command OK."
"2026-01-12 09:02:28","2.5.5","SUCCESS",0.15,"Command OK."
"2026-01-12 09:02:28","2.5.6","SUCCESS",0.15,"Command OK."
"2026-01-12 09:02:28","2.5.7","SUCCESS",0.16,"Command OK."
"2026-01-12 09:02:28","2.5.8","SUCCESS",0.17,"Command OK."
"2026-01-12 09:02:29","1.2.3","SUCCESS",0.12,"Command OK."
"2026-01-12 09:03:31","2.5.1","SUCCESS",0.19,"Command OK."
"2026-01-12 09:03:32","2.5.2","SUCCESS",0.18,"Command OK."
"2026-01-12 09:03:32","2.5.3","SUCCESS",0.17,"Command OK."
"2026-01-12 09:03:32","2.5.4","SUCCESS",0.16,"Command OK."
"2026-01-12 09:03:32","2.5.5","SUCCESS",0.18,"Command OK."
"2026-01-12 09:03:33","2.5.6","SUCCESS",0.18,"Command OK."
"2026-01-12 09:03:33","2.5.7","SUCCESS",0.19,"Command OK."
"2026-01-12 09:03:33","2.5.8","SUCCESS",0.2,"Command OK."
"2026-01-12 09:03:33","1.2.3","SUCCESS",0.19,"Command OK."
"2026-01-12 09:04:35","2.5.1","SUCCESS",0.07,"Command OK."
"2026-01-12 09:04:35","2.5.2","SUCCESS",0.09,"Command OK."
"2026-01-12 09:04:35","2.5.3","SUCCESS",0.13,"Command OK."
"2026-01-12 09:04:35","2.5.4","SUCCESS",0.11,"Command OK."
"2026-01-12 09:04:35","2.5.5","SUCCESS",0.08,"Command OK."
"2026-01-12 09:04:35","2.5.6","SUCCESS",0.1,"Command OK."
"2026-01-12 09:04:35","2.5.7","SUCCESS",0.09,"Command OK."
"2026-01-12 09:04:36","2.5.8","SUCCESS",0.08,"Command OK."
"2026-01-12 09:04:36","1.2.3","SUCCESS",0.09,"Command OK."
"2026-01-12 09:05:37","2.5.1","SUCCESS",0.08,"Command OK."
"2026-01-12 09:05:37","2.5.2","SUCCESS",0.08,"Command OK."
"2026-01-12 09:05:37","2.5.3","SUCCESS",0.14,"Command OK."
"2026-01-12 09:05:37","2.5.4","SUCCESS",0.11,"Command OK."
"2026-01-12 09:05:38","2.5.5","SUCCESS",0.08,"Command OK."
"2026-01-12 09:05:38","2.5.6","SUCCESS",0.12,"Command OK."
"2026-01-12 09:05:38","2.5.7","SUCCESS",0.09,"Command OK."
"2026-01-12 09:05:38","2.5.8","SUCCESS",0.06,"Command OK."
"2026-01-12 09:05:38","1.2.3","SUCCESS",0.13,"Command OK."
"2026-01-12 09:06:47","2.5.1","SUCCESS",0.78,"Command OK."
"2026-01-12 09:06:47","2.5.2","SUCCESS",0.26,"Command OK."
"2026-01-12 09:06:48","2.5.3","SUCCESS",0.21,"Command OK."
"2026-01-12 09:06:48","2.5.4","SUCCESS",0.29,"Command OK."
"2026-01-12 09:06:48","2.5.5","SUCCESS",0.22,"Command OK."
"2026-01-12 09:06:50","2.5.6","SUCCESS",1.84,"Command OK."
"2026-01-12 09:06:52","2.5.7","SUCCESS",0.92,"Command OK."
"2026-01-12 09:06:55","2.5.8","SUCCESS",2.45,"Command OK."
"2026-01-12 09:06:56","1.2.3","SUCCESS",1.12,"Command OK."
"2026-01-12 09:08:11","2.5.1","SUCCESS",0.58,"Command OK."
"2026-01-12 09:08:12","2.5.2","SUCCESS",0.54,"Command OK."
"2026-01-12 09:08:13","2.5.3","SUCCESS",0.74,"Command OK."
